,transaction_id,date,product_id,store_id,customer_id,quantity,discount,returned,category,color,size,season,supplier,cost_price,list_price,store_name,region,store_size_m2,age,gender,city,revenue,profit,date_by_month,repeat_flag,discount_rate
0,T0001754,2023-01-05,P000025,S002,C016996,3,0.0,0,Dresses,Green,L,Spring,supplierb,44.01,186.69,Porto Center,Porto,728,69,Other,Porto,560.0699999999999,428.04,2023-01,Repeat,
1,T0001745,2020-10-13,P000056,S005,C006388,3,0.2,0,Dresses,Black,XS,Fall,supplierc,71.0,161.27,Coimbra Boutique,Coimbra,238,31,Female,Porto,387.04800000000006,270.81000000000006,2020-10,Repeat,10-20%
2,T0001634,2024-06-24,P000098,S001,C005947,4,0.1,0,Shoes,Yellow,XL,Summer,suppliera,24.05,87.38,Lisbon Flagship,Lisbon,179,47,Male,Porto,314.568,253.32,2024-06,Repeat,0-10%
3,T0000537,2024-12-13,P000199,S002,C004963,3,0.0,0,Accessories,Green,XS,Winter,suppliera,72.15,120.6,Porto Center,Porto,728,66,Female,Braga,361.79999999999995,145.34999999999997,2024-12,Repeat,
4,T0000764,2024-10-28,P000206,S004,C009283,4,0.0,0,Tops,Blue,L,Spring,supplierb,38.43,147.24,Online,Online,950,67,Male,Braga,588.96,435.24,2024-10,Repeat,
5,T0001588,2023-10-19,P000215,S005,C005145,4,0.2,0,Tops,Red,XS,Winter,supplierb,63.43,52.27,Coimbra Boutique,Coimbra,238,24,Female,Faro,167.264,-44.639999999999986,2023-10,Repeat,10-20%
6,T0001016,2024-08-24,P000243,S001,C000705,3,0.0,0,Dresses,Black,XS,Fall,supplierb,76.99,70.56,Lisbon Flagship,Lisbon,179,31,Male,Faro,211.68,-19.289999999999978,2024-08,Repeat,
7,T0000757,2022-03-29,P000253,S005,C010407,2,0.1,0,Bottoms,Green,L,Winter,supplierb,11.91,175.84,Coimbra Boutique,Coimbra,238,35,Female,Faro,316.512,327.86,2022-03,One-time,0-10%
8,T0000977,2021-02-10,P000263,S004,C011286,3,0.0,0,Accessories,Green,XS,Summer,suppliera,5.56,178.02,Online,Online,950,58,Other,Braga,534.0600000000001,517.38,2021-02,Repeat,
9,T0001872,2023-06-13,P000265,S004,C008859,2,0.0,0,Bottoms,Blue,L,Winter,supplierc,18.4,129.66,Online,Online,950,53,Male,Faro,259.32,222.51999999999998,2023-06,Repeat,
10,T0001590,2020-11-19,P000342,S004,C005370,3,0.0,0,Bottoms,Yellow,M,Spring,supplierd,46.28,105.26,Online,Online,950,55,Male,Braga,315.78000000000003,176.94,2020-11,Repeat,
11,T0000877,2021-03-25,P000387,S003,C019958,1,0.0,0,Shoes,Black,S,Spring,supplierc,36.94,91.54,Faro Outlet,Algarve,336,49,Female,Braga,91.54,54.60000000000001,2021-03,Repeat,
12,T0001690,2024-07-05,P000390,S003,C011622,3,0.0,0,Shoes,Red,L,Fall,suppliera,76.4,176.7,Faro Outlet,Algarve,336,68,Male,Braga,530.0999999999999,300.9,2024-07,Repeat,
13,T0001988,2022-09-14,P000410,S001,C016862,2,0.3,0,Bottoms,Green,XL,Spring,supplierb,48.01,44.83,Lisbon Flagship,Lisbon,179,66,Other,Lisbon,62.76199999999999,-6.359999999999999,2022-09,Repeat,20-30%
14,T0001572,2023-10-31,P000419,S001,C006731,2,0.0,0,Accessories,White,S,Spring,supplierb,33.42,77.76,Lisbon Flagship,Lisbon,179,29,Other,Braga,155.52,88.68,2023-10,Repeat,
15,T0000408,2022-10-26,P000432,S005,C002558,2,0.3,1,Dresses,Red,M,Winter,supplierc,47.0,146.37,Coimbra Boutique,Coimbra,238,50,Female,Porto,204.918,198.74,2022-10,Repeat,20-30%
16,T0001661,2023-04-01,P000437,S004,C001231,3,0.2,0,Shoes,White,S,Spring,supplierc,59.63,61.0,Online,Online,950,17,Female,Braga,146.4,4.109999999999992,2023-04,Repeat,10-20%
17,T0001419,2023-05-12,P000461,S002,C014126,3,0.3,0,Dresses,Green,M,Summer,supplierc,13.71,86.51,Porto Center,Porto,728,66,Female,Porto,181.67100000000002,218.40000000000003,2023-05,Repeat,20-30%
18,T0000035,2021-07-23,P000480,S001,C001121,2,0.0,0,Accessories,Red,L,Winter,supplierd,72.06,100.47,Lisbon Flagship,Lisbon,179,28,Female,Coimbra,200.94,56.81999999999999,2021-07,Repeat,
19,T0000641,2024-02-01,P000503,S001,C008144,3,0.1,0,Accessories,Black,L,Fall,suppliera,7.37,188.76,Lisbon Flagship,Lisbon,179,68,Female,Lisbon,509.652,544.17,2024-02,Repeat,0-10%
20,T0000508,2024-10-12,P000559,S002,C007946,2,0.0,0,Dresses,Red,S,Spring,supplierc,29.17,102.64,Porto Center,Porto,728,39,Male,Lisbon,205.28,146.94,2024-10,Repeat,
21,T0001637,2024-06-30,P000570,S001,C019783,3,0.1,0,Tops,Black,L,Winter,supplierb,66.22,111.8,Lisbon Flagship,Lisbon,179,54,Male,Lisbon,301.86,136.74,2024-06,Repeat,0-10%
22,T0001681,2020-12-02,P000590,S003,C010479,4,0.3,0,Dresses,Blue,XS,Spring,supplierc,36.87,132.58,Faro Outlet,Algarve,336,27,Other,Faro,371.224,382.84000000000003,2020-12,Repeat,20-30%
23,T0001426,2021-07-19,P000651,S002,C017052,4,0.0,0,Shoes,Yellow,XS,Fall,supplierb,61.48,174.27,Porto Center,Porto,728,41,Female,Porto,697.08,451.1600000000001,2021-07,Repeat,
24,T0001042,2021-07-25,P000667,S002,C020234,2,0.0,0,Accessories,Black,M,Fall,suppliera,33.44,145.96,Porto Center,Porto,728,35,Male,Porto,291.92,225.04000000000002,2021-07,One-time,
25,T0000075,2023-03-28,P000691,S002,C008004,2,0.0,0,Accessories,Green,XL,Winter,supplierd,62.45,191.4,Porto Center,Porto,728,20,Other,Coimbra,382.8,257.9,2023-03,Repeat,
26,T0001489,2024-11-25,P000693,S002,C010194,3,0.1,0,Bottoms,Yellow,S,Fall,supplierd,31.4,183.86,Porto Center,Porto,728,53,Other,Faro,496.422,457.38,2024-11,One-time,0-10%
27,T0002073,2021-03-17,P000731,S002,C001759,2,0.1,0,Accessories,Black,M,Winter,supplierb,8.39,115.51,Porto Center,Porto,728,45,Female,Porto,207.918,214.24,2021-03,Repeat,0-10%
28,T0001496,2024-01-19,P000795,S003,C015511,4,0.0,0,Bottoms,Yellow,S,Winter,supplierc,18.48,176.31,Faro Outlet,Algarve,336,26,Female,Braga,705.24,631.32,2024-01,Repeat,
29,T0001930,2024-12-23,P000798,S001,C003841,3,0.1,0,Shoes,Black,XS,Spring,supplierd,78.14,18.81,Lisbon Flagship,Lisbon,179,58,Female,Lisbon,50.78699999999999,-177.99,2024-12,Repeat,0-10%
30,T0001371,2020-04-15,P000805,S005,C003777,4,0.2,0,Shoes,Green,S,Summer,supplierb,78.1,115.42,Coimbra Boutique,Coimbra,238,28,Other,Lisbon,369.34400000000005,149.28000000000003,2020-04,Repeat,10-20%
31,T0001627,2020-04-10,P000882,S004,C010141,3,0.1,0,Accessories,Green,S,Summer,supplierb,28.18,79.54,Online,Online,950,55,Female,Coimbra,214.758,154.08,2020-04,Repeat,0-10%
32,T0001279,2022-04-04,P000903,S005,C014560,1,0.0,0,Accessories,Green,XL,Summer,supplierb,31.24,37.43,Coimbra Boutique,Coimbra,238,37,Male,Braga,37.43,6.190000000000001,2022-04,Repeat,
33,T0000103,2023-08-20,P000999,S001,C004769,2,0.0,0,Bottoms,White,M,Winter,supplierc,16.56,122.32,Lisbon Flagship,Lisbon,179,44,Male,Lisbon,244.64,211.51999999999998,2023-08,One-time,
34,T0000294,2020-05-18,P001003,S004,C009736,1,0.0,0,Bottoms,Black,XS,Spring,supplierd,37.69,69.51,Online,Online,950,24,Female,Braga,69.51,31.820000000000007,2020-05,Repeat,
